Table,Condition,Frequency
cct1,"cct.kind IN ('crew', 'complete', 'complete+verified', 'crew', 'cast')",1
cct1,"cct.kind IN ('cast', 'cast', 'complete', 'crew', 'complete+verified')",1
cct1,"cct.kind IN ('crew', 'complete', 'crew', 'complete+verified', 'complete+verified')",1
cct1,"cct.kind IN ('cast', 'cast', 'complete+verified', 'complete', 'complete')",1
cct1,"cct.kind IN ('cast', 'crew', 'cast', 'cast', 'cast')",1
cct1,"cct.kind IN ('cast', 'cast', 'complete+verified', 'complete+verified', 'complete+verified')",2
cct1,"cct.kind IN ('cast', 'complete', 'cast', 'complete', 'crew')",1
cct1,"cct.kind IN ('cast', 'crew', 'crew', 'complete+verified', 'cast')",1
cct1,"cct.kind IN ('cast', 'complete+verified', 'complete+verified', 'cast', 'cast')",1
cct1,"cct.kind IN ('cast', 'complete+verified', 'crew', 'complete', 'complete')",1
cct1,"cct.kind IN ('crew', 'cast', 'crew', 'complete+verified', 'complete+verified')",1
cct1,"cct.kind IN ('crew', 'complete+verified', 'complete+verified', 'crew', 'complete+verified')",1
cct1,"cct.kind IN ('crew', 'cast', 'cast', 'cast', 'complete')",1
cct1,"cct.kind IN ('crew', 'complete', 'crew', 'complete', 'cast')",1
cct1,"cct.kind IN ('cast', 'crew', 'cast', 'complete', 'complete+verified')",1
cct1,"cct.kind IN ('cast', 'complete', 'complete', 'complete', 'cast')",1
cct2,cct.kind = 'complete+verified',39
cct2,cct.kind = 'complete',11
ci,"ci.note IN ('(uncredited)', '(as Jay Kennedy)', '(as Josephine Ditt)', '(as Kerr Syme)', '(as Giselle Forte)')",1
ci,"ci.note IN ('(executive producer)', '(as Joe Greene)', '(as Kane Mitani)', '(as Diensh Hingu)', '(as G. Subayeva)')",1
ci,"ci.note IN ('(as Steffen Gregory Foster)', '(as Melville Brown)', '(as Jim Gentry)', '(as Kathi Angerer)', '(as James Emory)')",1
ci,"ci.note IN ('(executive producer)', '(as Jill Powers)', '(as A.E. O''Brien)', '(as Tomas Zori)', '(as Rudy Halley)')",1
ci,"ci.note IN ('(as Steffen Gregory Foster)', '(as Tobin Smith)', '(as SzÃ­jj MiklÃ³s)', '(as Underworld)', '(as Bill Monroe)')",1
ci,"ci.note IN ('(as Steffen Gregory Foster)', '(as Alan Purwin)', '(as Angela Mangui)', '(as Pedro Azorin)', '(bvi marketing)')",1
ci,"ci.note IN ('(as Steffen Gregory Foster)', '(as Michael D''Oz)', '(Tokyo - drums)', '(as Irv Kershner)', '(as Dolly Lee)')",1
ci,"ci.note IN ('(as Steffen Gregory Foster)', '(as Herman Arbeit)', '(as Johnny West)', '(as Jon Angel)', '(as Popeye)')",1
ci,"ci.note IN ('(executive producer)', '(as Leila Lahua)', '(as Poobah)', '(as Ed Pepitone)', '(as F.J. Grandin)')",1
ci,"ci.note IN ('(executive producer)', '(as Lika Ptashuk)', '(as A. Kishore)', '(as Leon Isaac)', '(Ken''s Sister)')",1
ci,"ci.note IN ('(as Steffen Gregory Foster)', '(garden designer)', '(as Karl Lindt)', '(as Handan Akbasli)', '(as Tam Sie Wan)')",1
ci,"ci.note IN ('(executive producer)', '(as Alma Clark)', '(as Doug Higgins)', '(as Ryan King)', '(as N. Voillard)')",1
ci,"ci.note IN ('(as Steffen Gregory Foster)', '(Havaldar)', '(as Harold Shaw)', '(Akihiko''s father)', '(stand-in: ''Hal'')')",1
ci,"ci.note IN ('(as Steffen Gregory Foster)', '(as Ken''ichi KatÃ´)', '(as De Deguchi)', '(as Rupali)', '(elder brother)')",1
ci,"ci.note IN ('(executive producer)', '(customs liaison)', '(as Ranson Sherman)', '(Nerd)', '(as Dawn Christian)')",1
ci,"ci.note IN ('(as Steffen Gregory Foster)', '(as Christin Ford)', '(as Yu. Lavrov)', '(as Mike Flippo)', '(calligrapher: UK)')",1
ci,"ci.note IN ('(as Steffen Gregory Foster)', '(Boutique Owner)', '(as Jin Namkung)', '(as Stanford Price)', '(as FÃ¡bio Canale)')",1
ci,"ci.note IN ('(as Steffen Gregory Foster)', '(Tip O''Neil zombie)', '(special car)', '(as Jodi Harrison)', '(dog trainer: Rome)')",1
ci,"ci.note IN ('(uncredited)', '(as Sinisa Sraga)', '(The Phantom Rider)', '(75 years old)', '(as James Shanahan)')",1
ci,"ci.note IN ('(as Steffen Gregory Foster)', '(as N. Okhlopkov)', '(as Kyme McMahan)', '(as Josef von Baky)', '(as Nadia Carina)')",1
ci,"ci.note IN ('(as Steffen Gregory Foster)', '(as Larry Johnson)', '(provider: artwork)', '(as Brain McCabe)', '(Bridesmaid)')",1
ci,"ci.note IN ('(executive producer)', '(as Marie Bosch)', '(as Gianni De Luca)', '(as Mike Ferris)', '(Film Actress)')",1
ci,"ci.note IN ('(as Steffen Gregory Foster)', '(as Leonard Burke)', '(as Julie Sanford)', '(as Kim Hye-soo)', '(as Alex Mendoza)')",1
ci,"ci.note IN ('(uncredited)', '(as James O''Connor)', '(record keeper)', '(as Marj Corso)', '(as E. Khamrayev)')",1
ci,"ci.note IN ('(executive producer)', '(as N. Alekseyeva)', '(as Rouel De Villa)', '(as Achmed BÃ¼rger)', '(as Laon Ramon)')",1
ci,"ci.note IN ('(as Steffen Gregory Foster)', '(as Ross Cannon)', '(as Sam Cohen)', '(two episodes)', '(as T.K. Prasad)')",1
ci,"ci.note IN ('(uncredited)', '(as Darren Choo)', '(as Steve Tannen)', '(as Ellen Woodston)', '(tank technician)')",1
ci,"ci.note IN ('(uncredited)', '(as Valy Verdy)', '(as Herta Hareiter)', '(color slides)', '(as Selma GÃ¼neri)')",1
ci,"ci.note IN ('(as Steffen Gregory Foster)', '(story) (segment 5)', '(as Salleh Joned)', '(voice/latin coach)', '(as Paulo Morano)')",1
ci,"ci.note IN ('(as Steffen Gregory Foster)', '(Father of Viola)', '(as Henry Verdun)', '(as Franz Spencer)', '(Woman in Pink)')",1
ci,"ci.note IN ('(uncredited)', '(as Debra Spagnoli)', '(as Cindy Maranne)', '(Old Time Maid)', '(as Yu. Peratsky)')",1
ci,"ci.note IN ('(as Steffen Gregory Foster)', '(clip researcher)', '(sound editor)', '(as C.H. Weston)', '(as Philip Masse)')",1
ci,"ci.note IN ('(as Steffen Gregory Foster)', '(as V. Sinyavsky)', '(as Steve Belcher)', '(as Helle Winther)', '(as Ming-Na)')",1
ci,"ci.note IN ('(as Steffen Gregory Foster)', '(story adapted by)', '(as William Skall)', '(volunteer)', '(as Ernest Evers)')",1
ci,"ci.note IN ('(executive producer)', '(as P.J. Hull)', '(final conformist)', '(as Sami OrtÃ­z)', '(as Om Shiv Puri)')",1
ci,"ci.note IN ('(as Steffen Gregory Foster)', '(as Aashna)', '(as G.T. Buchholz)', '(as Edik Anisimov)', '(as Herbert Greene)')",1
ci,"ci.note IN ('(as Steffen Gregory Foster)', '(as Anooradha)', '(novel ""Malibu"")', '(producer: Toho)', '(as Kim Sheppard)')",1
ci,"ci.note IN ('(as Steffen Gregory Foster)', '(office executive)', '(as Eric Jelde)', '(coach: deportment)', '(as Adolf MÃ©rei)')",1
ci,"ci.note IN ('(uncredited)', '(as Goga)', '(as Diana Agostini)', '(as Aurelie Pauker)', '(as Li Yang)')",1
ci,"ci.note IN ('(as Steffen Gregory Foster)', '(as Cheng Pei Pei)', '(as Matt Fling)', '(as Miss Gray)', '(as Jenni Hetrick)')",1
ci,"ci.note IN ('(as Steffen Gregory Foster)', '(as Sarah Chattin)', '(as Valerie Blake)', '(as Cage)', '(as V. Stadler)')",1
ci,"ci.note IN ('(as Steffen Gregory Foster)', '(as Samuel Landers)', '(as Philip Ann)', '(as Dr. B. P. Roy)', '(as Rachel Schadt)')",1
ci,"ci.note IN ('(uncredited)', '(as Peter McQueen)', '(as David Katz)', '(as PJ Harris)', '(as Alain-Dhurtal)')",1
ci,"ci.note IN ('(uncredited)', '(as Yakub Sayed)', '(as Tessa Brind)', '(as Billimoria)', '(Nancy''s mother)')",1
ci,"ci.note IN ('(executive producer)', '(as Steven Baysura)', '(as Jackie Morgan)', '(as T.W. green)', '(as Norman Kru)')",1
ci,"ci.note IN ('(executive producer)', '(segment ""Squeak!"")', '(as Michal Muller)', '(as Fred Barnes)', '(as Tito Livio)')",1
ci,"ci.note IN ('(as Steffen Gregory Foster)', '(as Ajit Varman)', '(as A. Matov)', '(as Michael Stode)', '(as Craig Davidson)')",1
ci,"ci.note IN ('(as Steffen Gregory Foster)', '(as James Bentley)', '(Doulgas Judge)', '(as Fabio Urena)', '(as Debbie Karr)')",1
ci,"ci.note IN ('(as Steffen Gregory Foster)', '(Newsreader)', '(as Iker IbÃ¡Ã±ez)', '(as Cile Ilic)', '(as Louis da Pron)')",1
ci,"ci.note IN ('(executive producer)', '(as Manzoor-Ashraf)', '(as Phillip Hall)', '(beach gators)', '(as Gajraj)')",1
it_mi,it.info = 'languages',1
it_mi,it.info = 'certificates',17
it_mi,it.info = 'countries',2
it_mi,it.info = 'plot',2
it_mi,it.info = 'LD number',1
it_mi,it.info = 'LD analog left',2
it_mi,it.info = 'LD color information',1
it_mi,it.info = 'LD status of availablility',3
it_mi,it.info = 'genres',1
it_mi,it.info = 'LD sound encoding',2
it_mi,it.info = 'gross',1
it_mi,it.info = 'LD additional information',1
it_mi,it.info = 'release dates',3
it_mi,it.info = 'LD disc format',1
it_mi,it.info = 'LD official retail price',1
it_mi,it.info = 'tech info',4
it_mi,it.info = 'LD laserdisc title',1
it_mi,it.info = 'LD close captions-teletext-ld-g',1
it_mi,it.info = 'LD language',1
it_mi,it.info = 'LD release date',1
it_mi,it.info = 'mpaa',1
it_mi,it.info = 'LD disc size',1
it_mi,it.info = 'printed media reviews',1
it_miidx,it.info = 'votes distribution',18
it_miidx,it.info = 'votes',14
it_miidx,it.info = 'rating',18
k,"k.keyword IN ('unrequited-love', 'salvo', 'morelia', 'new-suit', 'neophyte')",1
k,"k.keyword IN ('vcr-tape', 'dodge-city-kansas', 'end-of-the-century', 'nitro', 'amazon-tribe')",1
k,"k.keyword IN ('machine-gun', 'black-hero', 'malibu-beach', 'bull''s-horns', 'police-shooting')",1
k,"k.keyword IN ('videotaped-sex', 'amnesiac-police', 'lance-in-chest', 'skiing-accident', 'video-security')",1
k,"k.keyword IN ('comic-book-collector', 'nibblers', 'no-fas-uk', 'systemic-risk', 'hydroelectric')",1
k,"k.keyword IN ('psychopath', 'electric-company', 'winther-swimmer', 'bolt-action-rifle', 'strap')",1
k,"k.keyword IN ('revolver', 'first-officer', 'knackery', 'malted-milk', 'birdbath')",1
k,"k.keyword IN ('priest', 'statue-of-a-dog', 'job-club', 'casino-card-game', 'saarland-germany')",1
k,"k.keyword IN ('held-at-gunpoint', 'on-leave', 'old-times', 'close-call', 'conflict-resolution')",1
k,"k.keyword IN ('frame-up', 'tanning-chamber', 'disemboweled-man', 'reparenting-therapy', 'yellow-pages')",1
k,"k.keyword IN ('reference-to-the-book-of-job', 'arabic-stereotype', 'graduation-film', 'window-shopping', 'foolishness')",1
k,"k.keyword IN ('female-nudity', 'hokey-pokey', 'cheese-factory', 'tubepoker', 'school-heirarchy')",1
k,"k.keyword IN ('hallucination', 'snore', 'beach-closure', 'the-venus-project', 'crane-toppling-over')",1
k,"k.keyword IN ('security-camera', 'thomas-ince', 'bouquet', 'godwin''s-law', 'black-supervillain')",1
k,"k.keyword IN ('snuff-film', 'elephantism', 'christian-right', 'dented-fender', 'darwin-australia')",1
k,"k.keyword IN ('crucifix', 'herb-shop', 'cricklewood-london', '35-digital', 'young-hollywood')",1
k,"k.keyword IN ('insect', 'romantic-longing', 'schubert', 'dereliction', 'weimaraner')",1
k,"k.keyword IN ('chair-moves-by-itself', 'cuff-links', 'human-spirit', 'furniture-designer', 'classical-piano')",1
k,"k.keyword IN ('money', 'losing-control', 'industrial-diamonds', 'kukri', 'multiple-exposure')",1
k,"k.keyword IN ('reference-to-the-book-of-job', 'topless-beach', 'hiding-from-police', 'ancient', 'stolen-pet')",1
k,"k.keyword IN ('injection', 'fluted-wine-glass', 'radio-operator', 'suburban', 'brain-in-a-jar')",1
k,"k.keyword IN ('psycho-thriller', 'buying-and-selling', 'h5n1-bird-flu', 'wild-stallion', 'liquid-food')",1
k,"k.keyword IN ('cut-into-pieces', 'speleologists', 'labor-department', 'patongo-uganda', 'jungle-fever')",1
k,"k.keyword IN ('unrequited-love', 'deadbeat-dad', 'breadwinner', 'caravan-park', 'slashing')",1
k,"k.keyword IN ('held-at-gunpoint', 'crewman', 'groovy-workshed', 'little-dipper', 'friends-fighting')",1
k,"k.keyword IN ('security-camera', 'gandy-goose', 'liquor-still', 'gun-shot-victim', 'male-wearing-thong')",1
k,"k.keyword IN ('cross-country', 'building-a-campfire', 'tech-support', 'armpit-licking', 'doomsday-device')",1
k,"k.keyword IN ('hobo', 'reavers', 'flashing-light', 'brownie-the-dog', 'water-bubble')",1
k,"k.keyword IN ('hotel', 'aberdeen-scotland', 'pope-hat', 'david-bernstein', 'writing-letter')",1
k,"k.keyword IN ('explosion', 'boat-train', 'sex-with-gloves-on', 'intelligent-design', 'butchering-a-human')",1
k,"k.keyword IN ('hobo', 'literary-figure', 'basketball-fan', 'incompetence', 'inland-empire')",1
k,"k.keyword IN ('burned-alive', 'alphabet-book', 'cattle-rustling', 'living-puppet', 'night-phoenix-press')",1
k,"k.keyword IN ('murder', 'ornithology', 'ticklish', 'boy-scouts', 'spike-strip')",1
k,"k.keyword IN ('crucifix', 'printing', 'hot-wiring-car', 'swim-fins', 'nuclear-test')",1
k,"k.keyword IN ('frame-up', 'trivia', 'scandalous-book', 'age-regression', 'suspended-by-feet')",1
k,"k.keyword IN ('bald-man', 'rappelling', 'broken-heel', 'godwin''s-law', 'same-birthday')",1
k,"k.keyword IN ('injection', 'vhs-player', 'snatched-by-a-bird', 'self-perception', 'roue')",1
k,"k.keyword IN ('exploding-body', 'army-unit', 'turkey-leg', 'dr.-pepper-the-soda', 'raindrop')",1
k,"k.keyword IN ('theatrical-producer', 'malana', 'bed-spring', 'heart-cut-out', 'pick-up-girl')",1
k,"k.keyword IN ('revolver', 'sleigh-chase', 'pope-leo-x', 'double-vision', 'animal-skin')",1
k,"k.keyword IN ('explosion', 'virgo', 'netherlands', 'medieval-tower', 'anti-feminism')",1
k,"k.keyword IN ('murder', 'fake-death', 'fulda-germany', 'manson', 'retired-agent')",1
k,"k.keyword IN ('newspaper', 'bad-karma', 'st.-remy', 'neo-rockabilly', 'eyes-on-springs')",1
k,"k.keyword IN ('unrequited-love', 'river-boat', 'lust', 'zaragoza', 'childhood-fantasy')",1
k,"k.keyword IN ('friendship', 'grisly-shootout', 'tarahumara', 'archive', 'jealous-suitor')",1
k,"k.keyword IN ('vcr-tape', 'altar', 'street-crime', 'brushing-one''s-hair', 'american-diplomat')",1
k,"k.keyword IN ('bully', 'round-table', 'face-of-darkness', 'sorbiers-france', 'timbering')",1
k,"k.keyword IN ('explosion', 'security-video', 'mysto-the-magician', 'carrying-child', 'swooner')",1
k,"k.keyword IN ('shower', 'colonial-governor', 'corporate-secrecy', 'police-couple', 'rich-to-poor')",1
k,"k.keyword IN ('womanizer', 'shiva', 'david-bowie', 'firehorse', 'laotian-army')",1
mi,"mi.info IN ('English', 'Family matters.', 'Germany:178', '22 April 1991 - ?', 'India:12 May 1945')",1
mi,"mi.info IN ('Australia:M', 'USA:5 May 1958', 'MET:1645.30 m', 'MET:11.58 m', 'Italy:23 July 1987')",1
mi,"mi.info IN ('USA', 'Tunisia:2006', 'AUD 1,200', 'Bravo, Alberto', 'Chile:18 June 1920')",1
mi,"mi.info IN ('Michael, a wimpy young executive, is about to get pulverized by a jealous boyfriend in a bar when a handsome, mysterious stranger steps in--and then disappears. Later that night, while jogging, Michael runs into the stranger on a pier. He introduces himself as Alex, and the two go out to an under- ground club. Within a matter of days, Alex wheedles his way into Michael''s life and turns it upside down, and Michael doesn''t realize that Alex is a dangerous sociopath until it''s too late.', 'Gest: Heavy knife.', 'Jennifer Nelson', 'Japan:137', 'The better option.')",1
mi,"mi.info IN ('3183', 'Dance Film', 'MET:2467 m', 'Let the Game Begin!', '$2,732,000')",1
mi,"mi.info IN ('Dolby Surround', 'Indonesia:103', '1936', 'Double Dhamaka', 'Japan:21 June 2001')",1
mi,"mi.info IN ('Color', 'France:19 July 1972', 'India:1 June 1996', 'Ireland:8 June 2002', 'Kotka, Finland')",1
mi,"mi.info IN ('Available', 'Turkey:2 July 1999', 'USA:8 June 1989', 'India:6 March 1995', 'Japan:5 May 1969')",1
mi,"mi.info IN ('Australia:M', 'MET:3187.60 m', 'USA:11 May 1952', 'France:134', 'Anglesey, Wales, UK')",1
mi,"mi.info IN ('UK:18', 'USA:25 July 1990', 'MET:2099.46 m', 'France:3 July 1953', 'Spain:25 July 2007')",1
mi,"mi.info IN ('Available', 'MET:1598 m', 'Colombia:May 2010', '172,973 (Spain)', '3468')",1
mi,"mi.info IN ('Thriller', 'Spain:12 July 1985', 'UK:December 1958', 'UK:18 March 1911', '3681')",1
mi,"mi.info IN ('-', 'Brazil:21 May 2012', 'Seymore Films [us]', 'USA:5 October 1949', '4766')",1
mi,"mi.info IN ('Digital/Analog-CX', 'Japan:5 May 1951', 'Russia:28 May 2009', 'Spain:6 August 1987', '1,608,946 (Spain)')",1
mi,"mi.info IN ('$12,626,043 (USA)', 'USA:21 April 1914', 'Japan:4 May 1951', 'USA:20 June 2012', '63617')",1
mi,"mi.info IN ('Spain:13', '6168', 'Poland:6 April 2007', 'Lady in White', 'ITL 300,000,000')",1
mi,"mi.info IN ('Unrated Director''s cut.', '$35,610,100 (USA)', 'USA:19 April 1911', 'MET:1605.38 m', '82,536 (Spain)')",1
mi,"mi.info IN ('Australia:M', 'France:6 June 2007', 'Zioss Films', 'To the Rescue? 2007', 'IguazÃº, Argentina')",1
mi,"mi.info IN ('USA:4 March 1936', 'Solo, Indonesia', 'Italy:25 July 1970', 'Hungary:29 May 1980', 'memory is a monster')",1
mi,"mi.info IN ('UK:15', 'USA:8 December 2004', 'UK:7 November 2006', '9 August 2011 - ?', 'Italy:22 April 2009')",1
mi,"mi.info IN ('CLV/CAV', '$4,874 (USA)', 'France:11 May 2003', 'PCS:Fantamation', 'USA:30 April 1937')",1
mi,"mi.info IN ('Sweden:15', '17 October 1988 - ?', 'UK:13 February 1998', 'UK:21 January 1910', 'UK:18 October 1983')",1
mi,"mi.info IN ('Australia:M', 'Australia:2009', 'MET:2719 m', '980,126 (Spain)', 'USA:16 August 2000')",1
mi,"mi.info IN ('Finland:17 June 1949', '644,964 (Spain)', 'USA:19 April 2008', 'USA:1 June 1968', '6210')",1
mi,"mi.info IN ('USA:R', 'Israel:27 June 2008', 'Sweden:8 May 1974', '$732', 'USA:9 April 1962')",1
mi,"mi.info IN ('Â£ 24.99', 'USA:25 January 1953', '24:44', 'USA:24 October 1957', 'MET:1245.72 m')",1
mi,"mi.info IN ('Denmark:10 July 1937', 'MET:2001.21 m', 'Mei-Ah Laserdisc', 'India:June 2013', '28 September 1994')",1
mi,"mi.info IN ('RAT:1.37 : 1', 'USA:16 May 1995', 'It All Begins Again', 'USA:18 October 1975', 'USA:26 August 1917')",1
mi,"mi.info IN ('Netherlands:16', 'USA:4 November 1971', 'USA:18 January 1995', 'Spain:7 May 2013', 'Cuba:14 April 2008')",1
mi,"mi.info IN ('RasenmÃ¤hermann, Der', 'USA:5 August 1998', 'France:19 June 1946', 'Japan:1 August 1981', 'Spain:20 June 2011')",1
mi,"mi.info IN ('PFM:35 mm', 'UK:2 January 1987', 'UK:11 December 1936', '6 May 1958 - ?', 'PSE 95-59WS')",1
mi,"mi.info IN ('-', 'Circle Films', 'THX', 'USA:24 July 1917', 'USA:September 1999')",1
mi,"mi.info IN ('English', 'MET:2014 m', 'HKD 700', 'Japan:24 May 1964', '$17,311')",1
mi,"mi.info IN ('Digital/Analog-CX', 'Ireland:May 2012', 'USA:6 May 1974', 'USA:13 March 1952', 'Let''s Misbehave!')",1
mi,"mi.info IN ('UK:18', 'Aydin, Turkey', 'Travis L. Cook', 'Italy:12 March 2009', 'India:30 July 1976')",1
mi,"mi.info IN ('Argentina:16', 'France:11 July 1984', 'USA:17 August 1929', 'USA:19 April 2008', 'BRL 125,000')",1
mi,"mi.info IN ('Available', 'Austria:May 1909', 'MET:322.80 m', 'Italy:26 June 1980', 'USA:7 October 1926')",1
mi,"mi.info IN ('Iceland:14', 'CAM:Sony DCR-TRV22', 'Mexico:23 July 1987', 'Germany:106', 'Sweden:23 June 1969')",1
mi,"mi.info IN ('USA', 'USA:June 1897', 'Italy:7 May 2007', 'Italy:March 1912', 'Japanese/English')",1
mi,"mi.info IN ('Spring 1994', 'Nigeria:2011', 'France:7 April 1974', 'USA:23 May 1997', 'Canada:5 July 2009')",1
mi,"mi.info IN ('Portugal:M/12', 'Italy:13 March 1941', 'Japan:9 April 1993', 'USA:8 July 2017', 'Japan:1 March 1913')",1
mi,"mi.info IN ('Rated R for language, sensuality and a scene of violence', '8 March 1937 - ?', '$26,154,211 (USA)', 'Pallbearer, The', '$3,416,846 (USA)')",1
mi,"mi.info IN ('OFM:35 mm', 'MET:2029 m', 'MET:4195.23 m', 'Slovakia:44', '""French Kiss""')",1
mi,"mi.info IN ('RAT:1.37 : 1', 'India:13 March 1981', 'Emil Lewis', 'USA:21 April 1994', 'LAB:Falanga, Poland')",1
mi,"mi.info IN ('Netherlands:16', 'USA:10 October 2012', '507,849 (Spain)', 'Spain:9 March 2007', 'France:5 May 2002')",1
mi,"mi.info IN ('USA:R', '70 mm 6-Track', 'USA:12 August 2011', '- 9 October 1995', 'USA:29 May 1933')",1
mi,"mi.info IN ('Australia:M', 'MET:22.86 m', 'Spain:3 June 1932', 'UK:12 May 1984', 'PRC MCMXLII')",1
mi,"mi.info IN ('12', 'CAD 166,000', 'France:22 May 2002', 'USA:20 August 1944', 'UK:13 January 2004')",1
mi,"mi.info IN ('A trip into virtual reality. Angelo has developed a virtual reality system, which truly immerses the user into the world of computer make-believe. The lawnmower man, Jobe, who is retarded, is put ''into'' the system to find out if his intelligence can be improved. It can, but not without some serious side-effects.', 'France:14 May 1937', 'USA:18 August 1928', 'Cuba:June 1999', 'Germany:27 May 1932')",1
mi,"mi.info IN ('Guerand, Jean-Philippe. In: ""PremiÃ¨re"" (France), September 1990, Pg. 16, (MG)', 'MET:1837.81 m', 'Taiwan:25', '$31,132,592 (USA)', 'Taiwan:30 May 2012')",1
n,n.gender = 'm',50
t,t.production_year > 1947,4
t,t.production_year > 1989,12
t,t.production_year > 1991,29
t,t.production_year > 1935,5
