["d_year > 2001", "item1.i_category IN ('Electronics                                       ', 'Women                                             ', 'Jewelry')", "item2.i_manager_id > 42", "item2.i_manager_id < 52", "cd_marital_status = 'D'", "cd_education_status = 'College'", "s1.ss_list_price > 12", "s1.ss_list_price < 215", "s2.ss_list_price > 11", "s2.ss_list_price < 143"],
["d_year > 2001", "item1.i_category IN ('Sports                                            ', 'Sports                                            ', 'Sports')", "item2.i_manager_id > 63", "item2.i_manager_id < 87", "cd_marital_status = 'S'", "cd_education_status = 'Unknown'", "s1.ss_list_price > 23", "s1.ss_list_price < 95", "s2.ss_list_price > 25", "s2.ss_list_price < 69"],
["d_year > 2001", "item1.i_category IN ('Electronics                                       ', 'Electronics                                       ', 'Electronics')", "item2.i_manager_id > 42", "item2.i_manager_id < 71", "cd_marital_status = 'D'", "cd_education_status = 'College'", "s1.ss_list_price > 13", "s1.ss_list_price < 202", "s2.ss_list_price > 55", "s2.ss_list_price < 230"],
["d_year > 2000", "item1.i_category IN ('Children                                          ', 'Music                                             ', 'Music')", "item2.i_manager_id > 1", "item2.i_manager_id < 52", "cd_marital_status = 'D'", "cd_education_status = 'Advanced Degree'", "s1.ss_list_price > 64", "s1.ss_list_price < 194", "s2.ss_list_price > 15", "s2.ss_list_price < 119"],
["d_year > 2000", "item1.i_category IN ('Electronics                                       ', 'Men                                               ', 'Books')", "item2.i_manager_id > 48", "item2.i_manager_id < 74", "cd_marital_status = 'W'", "cd_education_status = 'Unknown'", "s1.ss_list_price > 104", "s1.ss_list_price < 194", "s2.ss_list_price > 95", "s2.ss_list_price < 108"],
["d_year > 1998", "item1.i_category IN ('Sports                                            ', 'Sports                                            ', 'Sports')", "item2.i_manager_id > 6", "item2.i_manager_id < 91", "cd_marital_status = 'D'", "cd_education_status = 'Secondary'", "s1.ss_list_price > 86", "s1.ss_list_price < 143", "s2.ss_list_price > 24", "s2.ss_list_price < 107"],
["d_year > 2000", "item1.i_category IN ('Electronics                                       ', 'Electronics                                       ', 'Electronics')", "item2.i_manager_id > 34", "item2.i_manager_id < 53", "cd_marital_status = 'D'", "cd_education_status = 'Secondary'", "s1.ss_list_price > 73", "s1.ss_list_price < 112", "s2.ss_list_price > 46", "s2.ss_list_price < 216"],
["d_year > 2001", "item1.i_category IN ('Books                                             ', 'Books                                             ', 'Books')", "item2.i_manager_id > 58", "item2.i_manager_id < 77", "cd_marital_status = 'D'", "cd_education_status = 'College'", "s1.ss_list_price > 34", "s1.ss_list_price < 93", "s2.ss_list_price > 2", "s2.ss_list_price < 92"],
["d_year > 2001", "item1.i_category IN ('Children                                          ', 'Children                                          ', 'Children')", "item2.i_manager_id > 87", "item2.i_manager_id < 95", "cd_marital_status = 'U'", "cd_education_status = 'Unknown'", "s1.ss_list_price > 90", "s1.ss_list_price < 91", "s2.ss_list_price > 23", "s2.ss_list_price < 192"],
["d_year > 2001", "item1.i_category IN ('Books                                             ', 'Books                                             ', 'Books')", "item2.i_manager_id > 10", "item2.i_manager_id < 75", "cd_marital_status = 'D'", "cd_education_status = 'Secondary'", "s1.ss_list_price > 11", "s1.ss_list_price < 61", "s2.ss_list_price > 42", "s2.ss_list_price < 151"],
["d_year > 2000", "item1.i_category IN ('Shoes                                             ', 'Shoes                                             ', 'Shoes')", "item2.i_manager_id > 24", "item2.i_manager_id < 57", "cd_marital_status = 'W'", "cd_education_status = 'College'", "s1.ss_list_price > 1", "s1.ss_list_price < 58", "s2.ss_list_price > 1", "s2.ss_list_price < 27"],
["d_year > 2002", "item1.i_category IN ('Electronics                                       ', 'Electronics                                       ', 'Electronics')", "item2.i_manager_id > 42", "item2.i_manager_id < 79", "cd_marital_status = 'U'", "cd_education_status = 'College'", "s1.ss_list_price > 49", "s1.ss_list_price < 97", "s2.ss_list_price > 92", "s2.ss_list_price < 208"],
["d_year > 2003", "item1.i_category IN ('Electronics                                       ', 'Sports                                            ', 'Books')", "item2.i_manager_id > 36", "item2.i_manager_id < 62", "cd_marital_status = 'U'", "cd_education_status = 'College'", "s1.ss_list_price > 14", "s1.ss_list_price < 154", "s2.ss_list_price > 29", "s2.ss_list_price < 63"],
["d_year > 2000", "item1.i_category IN ('Books                                             ', 'Books                                             ', 'Books')", "item2.i_manager_id > 29", "item2.i_manager_id < 44", "cd_marital_status = 'M'", "cd_education_status = 'Secondary'", "s1.ss_list_price > 8", "s1.ss_list_price < 114", "s2.ss_list_price > 46", "s2.ss_list_price < 151"],
["d_year > 2001", "item1.i_category IN ('Electronics                                       ', 'Electronics                                       ', 'Electronics')", "item2.i_manager_id > 15", "item2.i_manager_id < 63", "cd_marital_status = 'S'", "cd_education_status = '2 yr Degree'", "s1.ss_list_price > 11", "s1.ss_list_price < 78", "s2.ss_list_price > 29", "s2.ss_list_price < 134"],
["d_year > 2002", "item1.i_category IN ('Men                                               ', 'Children                                          ', 'Home')", "item2.i_manager_id > 52", "item2.i_manager_id < 69", "cd_marital_status = 'W'", "cd_education_status = 'Secondary'", "s1.ss_list_price > 16", "s1.ss_list_price < 103", "s2.ss_list_price > 63", "s2.ss_list_price < 82"],
["d_year > 2000", "item1.i_category IN ('Home                                              ', 'Children                                          ', 'Children')", "item2.i_manager_id > 58", "item2.i_manager_id < 82", "cd_marital_status = 'D'", "cd_education_status = '4 yr Degree'", "s1.ss_list_price > 76", "s1.ss_list_price < 109", "s2.ss_list_price > 87", "s2.ss_list_price < 151"],
["d_year > 1999", "item1.i_category IN ('Shoes                                             ', 'Children                                          ', 'Shoes')", "item2.i_manager_id > 11", "item2.i_manager_id < 30", "cd_marital_status = 'M'", "cd_education_status = 'Secondary'", "s1.ss_list_price > 49", "s1.ss_list_price < 153", "s2.ss_list_price > 34", "s2.ss_list_price < 108"],
["d_year > 2002", "item1.i_category IN ('Men                                               ', 'Men                                               ', 'Men')", "item2.i_manager_id > 15", "item2.i_manager_id < 99", "cd_marital_status = 'S'", "cd_education_status = '4 yr Degree'", "s1.ss_list_price > 38", "s1.ss_list_price < 183", "s2.ss_list_price > 119", "s2.ss_list_price < 174"],
["d_year > 2002", "item1.i_category IN ('Electronics                                       ', 'Electronics                                       ', 'Shoes')", "item2.i_manager_id > 47", "item2.i_manager_id < 61", "cd_marital_status = 'W'", "cd_education_status = 'College'", "s1.ss_list_price > 78", "s1.ss_list_price < 80", "s2.ss_list_price > 75", "s2.ss_list_price < 81"],
["d_year > 1998", "item1.i_category IN ('Children                                          ', 'Children                                          ', 'Children')", "item2.i_manager_id > 13", "item2.i_manager_id < 18", "cd_marital_status = 'U'", "cd_education_status = 'Unknown'", "s1.ss_list_price > 1", "s1.ss_list_price < 76", "s2.ss_list_price > 28", "s2.ss_list_price < 108"],
["d_year > 1999", "item1.i_category IN ('Children                                          ', 'Children                                          ', 'Men')", "item2.i_manager_id > 41", "item2.i_manager_id < 47", "cd_marital_status = 'U'", "cd_education_status = '4 yr Degree'", "s1.ss_list_price > 20", "s1.ss_list_price < 76", "s2.ss_list_price > 19", "s2.ss_list_price < 181"],
["d_year > 2002", "item1.i_category IN ('Shoes                                             ', 'Electronics                                       ', 'Shoes')", "item2.i_manager_id > 48", "item2.i_manager_id < 73", "cd_marital_status = 'D'", "cd_education_status = '4 yr Degree'", "s1.ss_list_price > 12", "s1.ss_list_price < 173", "s2.ss_list_price > 46", "s2.ss_list_price < 60"],
["d_year > 2000", "item1.i_category IN ('Electronics                                       ', 'Electronics                                       ', 'Electronics')", "item2.i_manager_id > 2", "item2.i_manager_id < 70", "cd_marital_status = 'U'", "cd_education_status = 'Advanced Degree'", "s1.ss_list_price > 41", "s1.ss_list_price < 61", "s2.ss_list_price > 52", "s2.ss_list_price < 102"],
["d_year > 1999", "item1.i_category IN ('Children                                          ', 'Children                                          ', 'Children')", "item2.i_manager_id > 8", "item2.i_manager_id < 61", "cd_marital_status = 'M'", "cd_education_status = 'Secondary'", "s1.ss_list_price > 1", "s1.ss_list_price < 29", "s2.ss_list_price > 13", "s2.ss_list_price < 44"],
["d_year > 2000", "item1.i_category IN ('Electronics                                       ', 'Electronics                                       ', 'Electronics')", "item2.i_manager_id > 52", "item2.i_manager_id < 88", "cd_marital_status = 'U'", "cd_education_status = 'Unknown'", "s1.ss_list_price > 53", "s1.ss_list_price < 178", "s2.ss_list_price > 46", "s2.ss_list_price < 205"],
["d_year > 2000", "item1.i_category IN ('Electronics                                       ', 'Home                                              ', 'Men')", "item2.i_manager_id > 25", "item2.i_manager_id < 53", "cd_marital_status = 'D'", "cd_education_status = '2 yr Degree'", "s1.ss_list_price > 21", "s1.ss_list_price < 75", "s2.ss_list_price > 24", "s2.ss_list_price < 236"],
["d_year > 1998", "item1.i_category IN ('Home                                              ', 'Sports                                            ', 'Shoes')", "item2.i_manager_id > 23", "item2.i_manager_id < 51", "cd_marital_status = 'D'", "cd_education_status = '4 yr Degree'", "s1.ss_list_price > 2", "s1.ss_list_price < 131", "s2.ss_list_price > 40", "s2.ss_list_price < 149"],
["d_year > 1998", "item1.i_category IN ('Electronics                                       ', 'Electronics                                       ', 'Electronics')", "item2.i_manager_id > 59", "item2.i_manager_id < 98", "cd_marital_status = 'U'", "cd_education_status = 'Primary'", "s1.ss_list_price > 114", "s1.ss_list_price < 137", "s2.ss_list_price > 113", "s2.ss_list_price < 119"],
["d_year > 2001", "item1.i_category IN ('Shoes                                             ', 'Shoes                                             ', 'Shoes')", "item2.i_manager_id > 6", "item2.i_manager_id < 37", "cd_marital_status = 'U'", "cd_education_status = '2 yr Degree'", "s1.ss_list_price > 41", "s1.ss_list_price < 137", "s2.ss_list_price > 64", "s2.ss_list_price < 136"],
["d_year > 2003", "item1.i_category IN ('Books                                             ', 'Books                                             ', 'Books')", "item2.i_manager_id > 7", "item2.i_manager_id < 93", "cd_marital_status = 'D'", "cd_education_status = 'Secondary'", "s1.ss_list_price > 2", "s1.ss_list_price < 55", "s2.ss_list_price > 14", "s2.ss_list_price < 119"],
["d_year > 1999", "item1.i_category IN ('Children                                          ', 'Books                                             ', 'Shoes')", "item2.i_manager_id > 8", "item2.i_manager_id < 98", "cd_marital_status = 'D'", "cd_education_status = 'Advanced Degree'", "s1.ss_list_price > 131", "s1.ss_list_price < 205", "s2.ss_list_price > 136", "s2.ss_list_price < 192"],
["d_year > 1999", "item1.i_category IN ('Books                                             ', 'Books                                             ', 'Books')", "item2.i_manager_id > 26", "item2.i_manager_id < 37", "cd_marital_status = 'M'", "cd_education_status = 'Secondary'", "s1.ss_list_price > 16", "s1.ss_list_price < 112", "s2.ss_list_price > 82", "s2.ss_list_price < 164"],
["d_year > 2000", "item1.i_category IN ('Electronics                                       ', 'Electronics                                       ', 'Electronics')", "item2.i_manager_id > 33", "item2.i_manager_id < 56", "cd_marital_status = 'S'", "cd_education_status = 'Advanced Degree'", "s1.ss_list_price > 64", "s1.ss_list_price < 123", "s2.ss_list_price > 103", "s2.ss_list_price < 247"],
["d_year > 1998", "item1.i_category IN ('Children                                          ', 'Shoes                                             ', 'Home')", "item2.i_manager_id > 10", "item2.i_manager_id < 38", "cd_marital_status = 'D'", "cd_education_status = '4 yr Degree'", "s1.ss_list_price > 21", "s1.ss_list_price < 199", "s2.ss_list_price > 2", "s2.ss_list_price < 55"],
["d_year > 2000", "item1.i_category IN ('Shoes                                             ', 'Shoes                                             ', 'Electronics')", "item2.i_manager_id > 87", "item2.i_manager_id < 88", "cd_marital_status = 'U'", "cd_education_status = '4 yr Degree'", "s1.ss_list_price > 35", "s1.ss_list_price < 98", "s2.ss_list_price > 24", "s2.ss_list_price < 127"],
["d_year > 2000", "item1.i_category IN ('Children                                          ', 'Electronics                                       ', 'Children')", "item2.i_manager_id > 47", "item2.i_manager_id < 48", "cd_marital_status = 'D'", "cd_education_status = '2 yr Degree'", "s1.ss_list_price > 91", "s1.ss_list_price < 102", "s2.ss_list_price > 69", "s2.ss_list_price < 119"],
["d_year > 1999", "item1.i_category IN ('Children                                          ', 'Men                                               ', 'Men')", "item2.i_manager_id > 67", "item2.i_manager_id < 88", "cd_marital_status = 'M'", "cd_education_status = 'Advanced Degree'", "s1.ss_list_price > 53", "s1.ss_list_price < 87", "s2.ss_list_price > 28", "s2.ss_list_price < 183"],
["d_year > 1999", "item1.i_category IN ('Men                                               ', 'Men                                               ', 'Men')", "item2.i_manager_id > 30", "item2.i_manager_id < 76", "cd_marital_status = 'W'", "cd_education_status = 'Secondary'", "s1.ss_list_price > 26", "s1.ss_list_price < 105", "s2.ss_list_price > 70", "s2.ss_list_price < 107"],
["d_year > 2003", "item1.i_category IN ('Home                                              ', 'Shoes                                             ', 'Home')", "item2.i_manager_id > 53", "item2.i_manager_id < 82", "cd_marital_status = 'U'", "cd_education_status = 'Unknown'", "s1.ss_list_price > 16", "s1.ss_list_price < 173", "s2.ss_list_price > 16", "s2.ss_list_price < 25"]
